"Multisizer","2018-11-01  13:47"
"File name:","50K_P4_2018-11-01_79.#m4"
"Generation:","50K"
"Population:","P4"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-01  13:47"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","10504"
"Counting threshold:","0.600"
"Counts above threshold:","10504"
"Coincidence corrected:","10727"

"From","0.113"
"To","3054"
"Number ",10714
"Mean:","1.223"
"Median:","0.971"
"D(0,0):",1.263
"Mean/Median ratio:","1.259"
"Mode:","0.775"
"95% Conf. Limits:","1.208"
"95% Conf. Limits:","1.237"
"S.D.:","0.785"
"Variance:","0.616"
"C.V.:","64.19"
"Skewness:","2.814"
"Kurtosis:","14.13"
"d10:","0.609"
"d50:","0.971"
"d90:","2.141"
"Specific Surf. Area:","43462"

"% <","Size "
10,0.609
25,0.739
50,0.971
75,1.468
90,2.141

"% >","Size "
10,2.141
25,1.468
50,0.971
75,0.739
90,0.609

"Size ","% <"
1,52.6
10,99.96
100,100
1000,100

"Size ","% >"
1,47.4
10,0.040
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,19,0.113,0.114,0.116
2,22,0.116,0.117,0.119
3,11,0.119,0.120,0.122
4,7,0.122,0.124,0.125
5,13,0.125,0.127,0.128
6,9,0.128,0.130,0.132
7,4,0.132,0.133,0.135
8,4,0.135,0.137,0.139
9,1,0.139,0.140,0.142
10,3,0.142,0.144,0.146
11,0,0.146,0.148,0.150
12,0,0.150,0.152,0.153
13,1,0.153,0.155,0.157
14,1,0.157,0.159,0.162
15,0,0.162,0.164,0.166
16,0,0.166,0.168,0.170
17,1,0.170,0.172,0.174
18,1,0.174,0.177,0.179
19,2,0.179,0.181,0.183
20,1,0.183,0.186,0.188
21,1,0.188,0.191,0.193
22,0,0.193,0.196,0.198
23,1,0.198,0.201,0.203
24,0,0.203,0.206,0.208
25,1,0.208,0.211,0.214
26,0,0.214,0.217,0.219
27,0,0.219,0.222,0.225
28,1,0.225,0.228,0.231
29,2,0.231,0.234,0.237
30,0,0.237,0.240,0.243
31,0,0.243,0.246,0.249
32,0,0.249,0.252,0.256
33,0,0.256,0.259,0.262
34,1,0.262,0.266,0.269
35,0,0.269,0.272,0.276
36,0,0.276,0.280,0.283
37,0,0.283,0.287,0.290
38,0,0.290,0.294,0.298
39,1,0.298,0.302,0.306
40,0,0.306,0.310,0.314
41,0,0.314,0.318,0.322
42,4,0.322,0.326,0.330
43,1,0.330,0.334,0.338
44,6,0.338,0.343,0.347
45,1,0.347,0.352,0.356
46,4,0.356,0.361,0.365
47,6,0.365,0.370,0.375
48,2,0.375,0.380,0.384
49,4,0.384,0.389,0.394
50,4,0.394,0.399,0.405
51,9,0.405,0.410,0.415
52,13,0.415,0.420,0.426
53,10,0.426,0.431,0.437
54,14,0.437,0.442,0.448
55,11,0.448,0.454,0.460
56,25,0.460,0.466,0.472
57,34,0.472,0.478,0.484
58,35,0.484,0.490,0.496
59,40,0.496,0.503,0.509
60,53,0.509,0.516,0.522
61,70,0.522,0.529,0.536
62,79,0.536,0.543,0.550
63,103,0.550,0.557,0.564
64,104,0.564,0.571,0.578
65,152,0.578,0.586,0.593
66,153,0.593,0.601,0.609
67,192,0.609,0.616,0.624
68,170,0.624,0.632,0.640
69,189,0.640,0.649,0.657
70,230,0.657,0.665,0.674
71,221,0.674,0.683,0.691
72,228,0.691,0.700,0.709
73,247,0.709,0.718,0.728
74,243,0.728,0.737,0.746
75,223,0.746,0.756,0.766
76,291,0.766,0.775,0.785
77,258,0.785,0.796,0.806
78,250,0.806,0.816,0.827
79,266,0.827,0.837,0.848
80,233,0.848,0.859,0.870
81,247,0.870,0.881,0.892
82,257,0.892,0.904,0.915
83,270,0.915,0.927,0.939
84,217,0.939,0.951,0.963
85,238,0.963,0.976,0.988
86,246,0.988,1.001,1.014
87,226,1.014,1.027,1.040
88,220,1.040,1.053,1.067
89,183,1.067,1.080,1.094
90,185,1.094,1.108,1.123
91,171,1.123,1.137,1.152
92,166,1.152,1.166,1.181
93,150,1.181,1.197,1.212
94,142,1.212,1.227,1.243
95,148,1.243,1.259,1.275
96,127,1.275,1.292,1.308
97,142,1.308,1.325,1.342
98,113,1.342,1.359,1.377
99,123,1.377,1.394,1.412
100,103,1.412,1.430,1.449
101,136,1.449,1.467,1.486
102,115,1.486,1.505,1.525
103,113,1.525,1.544,1.564
104,122,1.564,1.584,1.605
105,119,1.605,1.625,1.646
106,125,1.646,1.667,1.689
107,120,1.689,1.710,1.732
108,122,1.732,1.754,1.777
109,108,1.777,1.800,1.823
110,104,1.823,1.846,1.870
111,126,1.870,1.894,1.918
112,104,1.918,1.943,1.968
113,87,1.968,1.993,2.019
114,75,2.019,2.045,2.071
115,79,2.071,2.097,2.124
116,90,2.124,2.152,2.179
