CellID,LongAxis,ShortAxis,Area,RegionScore,XPosition,YPosition,Fluor1Sum,Fluor1Mean,Fluor1Background,Fluor1BgStd,Fluor1FociNumber,Fluor2Sum,Fluor2Mean,Fluor2Background,Fluor2BgStd,Fluor2FociNumber,Fluor3Sum,Fluor3Mean,Fluor3Background,Fluor3BgStd,Fluor3FociNumber,MeshArea,MeshSolidity,MeshAxisLength,MeshRibsLengthMax,MeshRibsLengthMean,MeshRibsLengthStd,MeshCurvatureMax,MeshCurvatureMean,MeshCurvatureInflection,MeshSinuosity,MeshVolume,NumOfNeighbors,RegionGrayVal,TimeFrames,AgeFrames,RelativeAge,xyFolder,DateTime,Folder,StageXposition,StageYposition,StageZposition,PhaseConfig,Fluo1Config,Fluo2Config,Fluo3Config
1,18,11.5454110836885,208,-49.947908449403,8.89903846153846,784.788461538462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,19792.2692307692,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
2,32,9.80040679006426,314,49.1836419178571,31.2547770700637,1260.15605095541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315.144550013785,0.966762761180036,32.4241810656199,11.4349332086594,9.39598655470487,2.549063101701,0.0505824632728226,0.00321725522133361,0,1.00033595763562,2248.24517801745,0,20320.1624203822,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
3,27,8.93390442056627,242,43.3595449992613,35.1446280991736,1321.3305785124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,258.563889858682,0.977896073017453,27.6057880763373,10.7732881346934,9.08013557412162,2.47626230509521,0.0116720466820287,0.00590869900274832,1,1.00190832819509,1787.61790909275,0,21431.041322314,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
4,20,10.3512603817622,207,-0.919737715320701,30.695652173913,583.188405797101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.179263709326,0.999854053257906,19.4846749336654,12.6907465692859,9.8521352743929,3.44408724964898,0.00898838798598466,0.00438850759285223,1,1.00051450242691,1485.4012282456,0,20753.6473429952,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
5,22,9.811264807228,217,36.5262886115551,74.036866359447,540.364055299539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,222.959550859534,0.995475719253571,22.993778585918,11.3488685099561,9.30989318234708,2.92536966269982,0.0113481350497945,0.0059122544967681,0,1.00132012232668,1565.27130125683,0,20714.4884792627,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
6,25,9.86326187225253,248,45.5238886788297,102.225806451613,121.004032258065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,254.108948676128,0.983195561451129,26.1055723357942,11.119915396459,9.40539595035858,2.63938651990032,0.00106369220906016,0.000545015184408707,1,1.00000431515658,1813.74933840083,0,21021.0725806452,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
7,26,9.61400272955816,251,43.5611968340568,110.96812749004,1088.15139442231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,253.371337851077,0.983459093111227,26.5873313526792,10.9736056025602,9.21556981992468,2.57320095010371,0.00862910896555711,0.00396035536416799,1,1.00077336265332,1773.40944490768,0,20913.6932270916,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
8,32,9.58991977903618,307,49.0435927678137,128.322475570033,1734.15309446254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,320.837080983166,0.962648705222382,33.015262612145,11.1757283780899,9.42637076652876,2.49951678872592,0.00522091427384212,0.00237658075205944,2,1.00019749022669,2304.05940989757,0,20727.7296416938,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
9,20,9.20383483845734,185,8.29548364076355,167.567567567568,985.448648648649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,209.234701267138,0.999480695462606,21.561409269916,11.3588805676862,9.31407401363555,2.97454608227954,0.0070418284581007,0.00383255511206778,0,1.00046048888504,1469.083205822,1,21933.8054054054,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
10,36,11.6773159859764,421,49.0445847752323,178.75296912114,978.733966745843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,382.374527747181,0.961377702441158,36.1026014531626,12.3856814451749,10.3481415162757,2.5221122286527,0.00910856789884989,0.00337688873341157,1,1.00059505162981,3036.35884986233,1,20694.2304038005,1,1,1,10,2018-11-01T16:57:04.081,20181101_ecoli_ARA_P4_2K,-1500,866,162.925,DIA_100X_EMPTY_1x1_200ms,,,
