"Multisizer","2018-11-09  16:32"
"File name:","607__2018-11-09_133.#m4"
"Generation:","607"
"Population:",""
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-11-09  16:31"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","28838"
"Counting threshold:","0.600"
"Counts above threshold:","28838"
"Coincidence corrected:","30043"

"From","0.113"
"To","3054"
"Number ",29924
"Mean:","0.283"
"Median:","0.231"
"D(0,0):",0.775
"Mean/Median ratio:","1.223"
"Mode:","0.222"
"95% Conf. Limits:","0.277"
"95% Conf. Limits:","0.289"
"S.D.:","0.494"
"Variance:","0.244"
"C.V.:","174.5"
"Skewness:","42.66"
"Kurtosis:","2300"
"d10:","0.143"
"d50:","0.231"
"d90:","0.438"
"Specific Surf. Area:","69491"

"% <","Size "
10,0.143
25,0.177
50,0.231
75,0.315
90,0.438

"% >","Size "
10,0.438
25,0.315
50,0.231
75,0.177
90,0.143

"Size ","% <"
1,99.5
10,99.95
100,100
1000,100

"Size ","% >"
1,0.54
10,0.047
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
331,0,512.0,518.6,525.3
332,0,525.3,532.0,538.8
333,0,538.8,545.8,552.8
334,0,552.8,559.9,567.1
335,0,567.1,574.3,581.7
336,0,581.7,589.2,596.7
337,0,596.7,604.4,612.2
338,0,612.2,620.0,628.0
339,0,628.0,636.0,644.2
340,0,644.2,652.5,660.8
341,0,660.8,669.3,677.9
342,0,677.9,686.6,695.4
343,0,695.4,704.4,713.4
344,0,713.4,722.6,731.8
345,0,731.8,741.2,750.8
346,0,750.8,760.4,770.2
347,0,770.2,780.0,790.1
348,0,790.1,800.2,810.5
349,0,810.5,820.9,831.4
350,0,831.4,842.1,852.9
351,0,852.9,863.8,874.9
352,0,874.9,886.2,897.5
353,0,897.5,909.1,920.7
354,0,920.7,932.5,944.5
355,0,944.5,956.6,968.9
356,0,968.9,981.4,994.0
357,0,994.0,1007,1020
358,0,1020,1033,1046
359,0,1046,1059,1073
360,0,1073,1087,1101
361,0,1101,1115,1129
362,0,1129,1144,1158
363,0,1158,1173,1188
364,0,1188,1204,1219
365,0,1219,1235,1251
366,0,1251,1267,1283
367,0,1283,1299,1316
368,0,1316,1333,1350
369,0,1350,1367,1385
370,0,1385,1403,1421
371,0,1421,1439,1457
372,0,1457,1476,1495
373,0,1495,1514,1534
374,0,1534,1553,1573
375,0,1573,1593,1614
376,0,1614,1635,1656
377,0,1656,1677,1698
378,0,1698,1720,1742
379,0,1742,1765,1787
380,0,1787,1810,1833
381,0,1833,1857,1881
382,0,1881,1905,1929
383,0,1929,1954,1979
384,0,1979,2005,2030
385,0,2030,2057,2083
386,0,2083,2110,2137
387,0,2137,2164,2192
388,0,2192,2220,2249
389,0,2249,2277,2307
390,0,2307,2336,2366
391,0,2366,2397,2427
392,0,2427,2459,2490
393,0,2490,2522,2555
394,0,2555,2587,2621
395,0,2621,2654,2688
396,0,2688,2723,2758
397,0,2758,2793,2829
398,0,2829,2865,2902
399,0,2902,2939,2977
400,0,2977,3015,3054
,,3054,,

"Sequence","Time","Volume","Diameter"
"","seconds","fL","um"
1,0.000,0.248,0.779
2,0.001,0.175,0.694
3,0.001,0.356,0.879
4,0.002,0.171,0.689
5,0.002,0.262,0.793
6,0.003,0.195,0.720
7,0.003,0.225,0.754
8,0.004,0.119,0.610
9,0.004,0.724,1.114
10,0.005,0.113,0.600
11,0.005,0.645,1.072
12,0.006,0.505,0.988
13,0.006,0.147,0.656
14,0.007,0.329,0.856
15,0.007,0.518,0.996
16,0.008,0.530,1.004
17,0.008,0.266,0.798
18,0.009,0.374,0.894
19,0.009,0.148,0.657
20,0.010,0.134,0.634
21,0.010,0.234,0.764
22,0.011,0.212,0.739
23,0.011,0.310,0.840
24,0.012,0.276,0.807
25,0.012,0.248,0.779
26,0.013,0.333,0.860
27,0.013,0.235,0.766
28,0.014,0.314,0.844
29,0.014,0.375,0.895
30,0.015,0.517,0.996
31,0.015,0.168,0.685
32,0.016,0.207,0.734
33,0.016,0.324,0.852
34,0.017,0.213,0.741
35,0.018,0.400,0.915
36,0.018,0.146,0.653
37,0.019,0.364,0.886
38,0.019,0.344,0.869
39,0.020,0.113,0.600
40,0.020,0.349,0.873
41,0.021,0.426,0.934
42,0.021,0.290,0.821
43,0.022,4.071,1.981
44,0.022,0.201,0.727
45,0.023,0.181,0.702
46,0.023,0.185,0.706
47,0.024,0.166,0.682
48,0.024,0.275,0.807
49,0.025,0.880,1.189
50,0.025,0.267,0.799
51,0.026,0.478,0.970
52,0.026,0.324,0.852
53,0.027,0.190,0.713
54,0.027,0.242,0.773
55,0.028,0.225,0.755
56,0.028,0.188,0.711
57,0.029,0.615,1.055
58,0.029,0.191,0.715
59,0.030,0.404,0.917
60,0.030,0.363,0.885
61,0.031,0.139,0.642
62,0.031,0.188,0.711
63,0.032,0.117,0.606
64,0.032,0.223,0.753
65,0.033,0.198,0.723
66,0.033,0.203,0.729
67,0.034,0.222,0.751
68,0.034,0.201,0.727
69,0.035,0.117,0.608
70,0.036,0.158,0.670
71,0.036,0.388,0.905
72,0.037,0.208,0.735
73,0.037,0.269,0.801
74,0.038,0.449,0.950
75,0.038,0.197,0.722
76,0.039,0.138,0.641
77,0.039,0.159,0.673
78,0.040,0.125,0.620
79,0.040,0.241,0.772
80,0.041,0.413,0.924
81,0.041,0.169,0.686
82,0.042,0.426,0.934
83,0.042,0.232,0.763
84,0.043,0.173,0.692
85,0.043,0.296,0.827
86,0.044,0.258,0.790
87,0.044,0.142,0.648
88,0.045,0.402,0.916
89,0.045,0.190,0.713
90,0.046,0.413,0.924
91,0.046,0.329,0.856
92,0.047,0.209,0.736
93,0.047,0.499,0.984
94,0.048,0.289,0.820
95,0.048,0.381,0.900
96,0.049,0.328,0.855
97,0.049,0.212,0.740
98,0.050,0.416,0.926
99,0.050,0.173,0.691
100,0.051,0.311,0.841
101,0.051,0.200,0.725
102,0.052,0.209,0.736
103,0.053,0.198,0.723
104,0.053,0.118,0.609
105,0.054,0.130,0.629
106,0.054,1.010,1.245
107,0.055,0.126,0.622
108,0.055,0.155,0.666
109,0.056,0.125,0.621
110,0.056,0.788,1.146
111,0.057,0.183,0.705
112,0.057,0.135,0.636
113,0.058,0.244,0.775
114,0.058,0.156,0.667
115,0.059,0.247,0.778
116,0.059,0.157,0.670
117,0.060,0.281,0.813
118,0.060,0.195,0.719
119,0.061,0.355,0.879
120,0.061,0.367,0.888
121,0.062,0.145,0.652
122,0.062,0.169,0.687
123,0.063,0.181,0.702
124,0.063,0.238,0.769
125,0.064,0.262,0.794
126,0.064,0.440,0.943
127,0.065,0.266,0.798
128,0.065,0.237,0.768
129,0.066,0.179,0.700
130,0.066,0.216,0.745
131,0.067,0.365,0.887
132,0.067,0.285,0.817
133,0.068,0.142,0.648
134,0.068,0.171,0.689
135,0.069,0.206,0.732
136,0.070,0.234,0.764
137,0.070,0.189,0.712
138,0.071,0.239,0.770
139,0.071,0.372,0.893
140,0.072,0.341,0.867
141,0.072,0.197,0.722
142,0.073,0.314,0.843
143,0.073,0.182,0.703
144,0.074,0.115,0.604
145,0.074,0.233,0.763
146,0.075,0.219,0.748
147,0.075,0.669,1.085
148,0.076,0.353,0.877
149,0.076,0.191,0.715
150,0.077,0.161,0.674
151,0.077,0.292,0.823
152,0.078,0.189,0.712
153,0.078,0.613,1.054
154,0.079,0.115,0.603
155,0.079,0.132,0.632
156,0.080,0.182,0.703
157,0.080,0.267,0.799
158,0.081,0.308,0.838
159,0.081,0.161,0.675
160,0.082,0.447,0.949
161,0.082,0.252,0.784
162,0.083,0.269,0.801
163,0.083,0.406,0.919
164,0.084,0.235,0.765
165,0.084,0.160,0.673
166,0.085,0.339,0.865
167,0.085,0.358,0.881
168,0.086,0.176,0.696
169,0.086,0.880,1.189
170,0.087,0.141,0.646
171,0.088,0.333,0.860
172,0.088,0.122,0.616
173,0.089,0.148,0.657
174,0.089,0.186,0.709
175,0.090,0.506,0.988
176,0.090,0.181,0.702
177,0.091,0.131,0.631
178,0.091,0.252,0.784
179,0.092,0.199,0.724
180,0.092,0.300,0.830
181,0.093,0.418,0.928
182,0.093,0.353,0.877
183,0.094,0.461,0.959
184,0.094,0.146,0.653
185,0.095,0.296,0.827
186,0.095,0.250,0.782
187,0.096,0.124,0.619
188,0.096,0.140,0.644
189,0.097,0.300,0.830
190,0.097,0.370,0.891
191,0.098,0.502,0.986
192,0.098,0.381,0.899
193,0.099,0.300,0.830
194,0.099,0.697,1.100
195,0.100,0.322,0.850
196,0.100,0.256,0.788
197,0.101,0.180,0.700
198,0.101,0.209,0.737
199,0.102,0.395,0.910
200,0.102,0.412,0.923
201,0.103,0.333,0.860
202,0.103,0.161,0.675
203,0.104,0.275,0.807
204,0.105,0.369,0.890
205,0.105,0.198,0.723
206,0.106,0.226,0.756
207,0.106,0.120,0.612
208,0.107,0.118,0.608
209,0.107,0.273,0.805
210,0.108,0.195,0.719
211,0.108,0.121,0.613
212,0.109,0.206,0.733
213,0.109,0.200,0.725
214,0.110,0.189,0.712
215,0.110,0.183,0.705
216,0.111,0.178,0.698
217,0.111,0.162,0.676
218,0.112,0.122,0.615
219,0.112,0.728,1.116
220,0.113,0.232,0.763
221,0.113,0.370,0.891
222,0.114,0.379,0.898
223,0.114,0.179,0.699
224,0.115,0.358,0.881
225,0.115,0.331,0.858
226,0.116,0.193,0.717
227,0.116,0.136,0.639
228,0.117,0.197,0.722
229,0.117,0.311,0.841
230,0.118,0.257,0.789
231,0.118,0.546,1.014
232,0.119,0.388,0.905
233,0.119,0.392,0.908
234,0.120,0.259,0.791
235,0.120,0.227,0.757
236,0.121,0.340,0.866
237,0.122,0.385,0.902
238,0.122,0.294,0.825
239,0.123,0.210,0.737
240,0.123,0.243,0.774
241,0.124,0.213,0.741
242,0.124,0.660,1.080
243,0.125,0.232,0.762
244,0.125,0.202,0.728
245,0.126,0.234,0.765
246,0.126,0.243,0.775
247,0.127,0.387,0.904
248,0.127,0.153,0.664
249,0.128,0.291,0.822
250,0.128,0.255,0.787
251,0.129,0.301,0.831
252,0.129,0.369,0.890
253,0.130,0.393,0.909
254,0.130,0.320,0.848
255,0.131,0.193,0.716
256,0.131,0.200,0.725
257,0.132,0.149,0.658
258,0.132,0.186,0.708
259,0.133,0.163,0.678
260,0.133,0.156,0.669
261,0.134,0.288,0.819
262,0.134,0.214,0.742
263,0.135,0.216,0.744
264,0.135,0.288,0.819
265,0.136,0.483,0.974
266,0.136,0.152,0.662
267,0.137,0.158,0.671
268,0.137,0.213,0.741
269,0.138,0.381,0.899
270,0.138,0.599,1.046
271,0.139,0.270,0.802
272,0.140,0.268,0.800
273,0.140,0.209,0.736
274,0.141,0.201,0.727
275,0.141,0.155,0.666
276,0.142,0.244,0.776
277,0.142,0.173,0.691
278,0.143,0.294,0.825
279,0.143,0.247,0.778
280,0.144,0.312,0.841
281,0.144,1.145,1.298
282,0.145,0.264,0.796
283,0.145,0.255,0.787
284,0.146,0.400,0.915
285,0.146,0.157,0.669
286,0.147,0.119,0.610
287,0.147,0.271,0.803
288,0.148,0.223,0.753
289,0.148,0.428,0.935
290,0.149,0.351,0.875
291,0.149,0.399,0.913
292,0.150,0.196,0.721
293,0.150,0.217,0.745
294,0.151,0.203,0.729
295,0.151,0.134,0.634
296,0.152,0.469,0.964
297,0.152,0.290,0.822
298,0.153,0.144,0.651
299,0.153,0.206,0.733
300,0.154,0.167,0.683
301,0.154,0.114,0.602
302,0.155,0.219,0.748
303,0.155,0.233,0.764
304,0.156,0.417,0.927
305,0.157,0.139,0.643
306,0.157,0.191,0.715
307,0.158,0.269,0.801
308,0.158,0.254,0.786
309,0.159,0.175,0.694
310,0.159,0.613,1.054
311,0.160,0.130,0.628
312,0.160,0.193,0.717
313,0.161,0.323,0.851
314,0.161,0.219,0.748
315,0.162,0.262,0.794
316,0.162,0.321,0.850
317,0.163,0.214,0.742
318,0.163,0.189,0.712
319,0.164,0.350,0.874
320,0.164,0.304,0.834
321,0.165,0.415,0.926
322,0.165,0.282,0.814
323,0.166,0.267,0.799
324,0.166,0.126,0.623
325,0.167,0.264,0.796
326,0.167,0.127,0.624
327,0.168,0.960,1.224
328,0.168,1.060,1.265
329,0.169,0.350,0.874
330,0.169,0.259,0.791
331,0.170,0.209,0.736
332,0.170,0.140,0.645
333,0.171,0.223,0.753
334,0.171,0.365,0.887
335,0.172,0.260,0.791
336,0.172,0.353,0.877
337,0.173,0.238,0.769
338,0.174,0.141,0.646
339,0.174,0.309,0.839
340,0.175,0.247,0.779
341,0.175,0.254,0.786
342,0.176,0.379,0.898
343,0.176,0.197,0.722
344,0.177,0.343,0.869
345,0.177,0.343,0.869
346,0.178,0.288,0.820
347,0.178,0.766,1.135
348,0.179,0.177,0.696
349,0.179,0.203,0.729
350,0.180,0.184,0.706
351,0.180,0.220,0.749
352,0.181,0.232,0.762
353,0.181,0.155,0.666
354,0.182,0.160,0.674
355,0.182,0.163,0.677
356,0.183,0.481,0.972
357,0.183,0.288,0.820
358,0.184,0.275,0.807
359,0.184,0.268,0.800
360,0.185,0.380,0.898
361,0.185,0.213,0.741
362,0.186,0.146,0.654
363,0.186,0.156,0.668
364,0.187,0.166,0.682
365,0.187,0.342,0.868
366,0.188,0.498,0.983
367,0.188,0.329,0.857
368,0.189,0.629,1.063
369,0.189,0.552,1.018
