"Multisizer","2018-10-31  12:10"
"File name:","10K_M2_2018-10-31_43.#m4"
"Generation:","10K"
"Population:","M2"
"Control mode:","Volumetric,  50  uL"
"Acquired:","2018-10-31  12:10"
"Size bins:","400"
"From","0.600"
"To","18.00"
"Sizing threshold:","0.600"
"Total pulses:","28914"
"Counting threshold:","0.600"
"Counts above threshold:","28914"
"Coincidence corrected:","30288"

"From","0.113"
"To","3054"
"Number ",30254
"Mean:","0.411"
"Median:","0.367"
"D(0,0):",0.897
"Mean/Median ratio:","1.119"
"Mode:","0.352"
"95% Conf. Limits:","0.409"
"95% Conf. Limits:","0.413"
"S.D.:","0.194"
"Variance:","0.0376"
"C.V.:","47.15"
"Skewness:","3.105"
"Kurtosis:","26.32"
"d10:","0.235"
"d50:","0.367"
"d90:","0.641"
"Specific Surf. Area:","63503"

"% <","Size "
10,0.235
25,0.289
50,0.367
75,0.479
90,0.641

"% >","Size "
10,0.641
25,0.479
50,0.367
75,0.289
90,0.235

"Size ","% <"
1,98.7
10,99.99
100,100
1000,100

"Size ","% >"
1,1.35
10,0.013
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,24,0.113,0.114,0.116
2,36,0.116,0.117,0.119
3,28,0.119,0.120,0.122
4,24,0.122,0.124,0.125
5,40,0.125,0.127,0.128
6,23,0.128,0.130,0.132
7,15,0.132,0.133,0.135
8,25,0.135,0.137,0.139
9,24,0.139,0.140,0.142
10,25,0.142,0.144,0.146
11,26,0.146,0.148,0.150
12,33,0.150,0.152,0.153
13,37,0.153,0.155,0.157
14,40,0.157,0.159,0.162
15,60,0.162,0.164,0.166
16,64,0.166,0.168,0.170
17,86,0.170,0.172,0.174
18,82,0.174,0.177,0.179
19,94,0.179,0.181,0.183
20,110,0.183,0.186,0.188
21,138,0.188,0.191,0.193
22,171,0.193,0.196,0.198
23,192,0.198,0.201,0.203
24,214,0.203,0.206,0.208
25,255,0.208,0.211,0.214
26,279,0.214,0.217,0.219
27,288,0.219,0.222,0.225
28,303,0.225,0.228,0.231
29,352,0.231,0.234,0.237
30,430,0.237,0.240,0.243
31,476,0.243,0.246,0.249
32,549,0.249,0.252,0.256
33,508,0.256,0.259,0.262
34,578,0.262,0.266,0.269
35,619,0.269,0.272,0.276
36,680,0.276,0.280,0.283
37,703,0.283,0.287,0.290
38,719,0.290,0.294,0.298
39,754,0.298,0.302,0.306
40,827,0.306,0.310,0.314
41,789,0.314,0.318,0.322
42,826,0.322,0.326,0.330
43,881,0.330,0.334,0.338
44,843,0.338,0.343,0.347
45,826,0.347,0.352,0.356
46,901,0.356,0.361,0.365
47,803,0.365,0.370,0.375
48,828,0.375,0.380,0.384
49,798,0.384,0.389,0.394
50,739,0.394,0.399,0.405
51,764,0.405,0.410,0.415
52,760,0.415,0.420,0.426
53,745,0.426,0.431,0.437
54,680,0.437,0.442,0.448
55,662,0.448,0.454,0.460
56,591,0.460,0.466,0.472
57,584,0.472,0.478,0.484
58,539,0.484,0.490,0.496
59,506,0.496,0.503,0.509
60,452,0.509,0.516,0.522
61,437,0.522,0.529,0.536
62,403,0.536,0.543,0.550
