CellID,LongAxis,ShortAxis,Area,RegionScore,XPosition,YPosition,Fluor1Sum,Fluor1Mean,Fluor1Background,Fluor1BgStd,Fluor1FociNumber,Fluor2Sum,Fluor2Mean,Fluor2Background,Fluor2BgStd,Fluor2FociNumber,Fluor3Sum,Fluor3Mean,Fluor3Background,Fluor3BgStd,Fluor3FociNumber,MeshArea,MeshSolidity,MeshAxisLength,MeshRibsLengthMax,MeshRibsLengthMean,MeshRibsLengthStd,MeshCurvatureMax,MeshCurvatureMean,MeshCurvatureInflection,MeshSinuosity,MeshVolume,NumOfNeighbors,RegionGrayVal,TimeFrames,AgeFrames,RelativeAge,xyFolder,DateTime,Folder,StageXposition,StageYposition,StageZposition,PhaseConfig,Fluo1Config,Fluo2Config,Fluo3Config
1,27,10.752377550498,291,45.5369075795634,138.549828178694,940.756013745704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,277.405093960239,0.986251784051079,27.3548130398064,11.5144352923421,9.89436165767851,2.65165679461867,0.00581986273305254,0.00264362492917712,1,1.00039218463958,2103.29017654061,0,20396.7903780069,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
2,22,11.1198994700603,245,26.8542162535452,268.179591836735,1893.02448979592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,236.105289591188,0.998255175981117,22.1784773323359,12.4575135527869,10.2618968595118,3.19655226067006,0.0032572961345672,0.00155637648226896,1,1.00007817301408,1834.32758990036,0,18784.5306122449,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
3,54,10.9257570217334,590,49.461123975676,281.891525423729,39.4016949152542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,543.229244064529,0.896741712371083,55.1571396397027,11.5972971749773,9.70694778572299,1.85902498150518,0.0173977438512925,0.00627150847399782,3,1.00554714259343,4081.84965702178,0,20726.4271186441,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
4,24,8.65660708275487,208,40.7795709743334,374.899038461538,1249.01442307692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,234.092908719165,0.997695183560133,23.8883401596928,11.8766645447574,9.36397913595098,3.05039786179699,0.0132799903376139,0.00367352840751331,0,1.0004522973206,1645.11677451052,1,20649.6490384615,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
5,38,10.2257523785011,389,49.1202537014768,386.958868894602,1246.58611825193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,388.094131746071,0.934401426916191,39.2405192788711,11.1244307383743,9.70692995984511,2.1539770616381,0.0167400989117679,0.00740821849929512,2,1.00604913450356,2903.94521758478,1,20301.4832904884,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
6,28,10.67381754003,299,47.8315098352127,428.491638795987,1105.72240802676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,284.860919366515,0.981940624941439,28.2321106464011,11.9079466754119,9.82115127102929,2.66028297347638,0.00343927023340582,0.00156627706238621,1,1.00010340121105,2138.7401848987,0,20334.3913043478,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
7,36,10.8903745274348,393,48.1656557622863,481.312977099237,410.022900763359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,370.763002670405,0.950509231468214,36.7231936397636,11.7739246145247,9.88992794626778,2.30544646256307,0.018490042062197,0.0071553583637562,1,1.00529642782261,2821.087646014,0,20267.8753180662,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
8,24,11.0344996390051,266,35.3965767240774,522.338345864662,1279.60526315789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,255.824153405878,0.991833088192281,24.8691659125009,11.8478744382764,10.0143432445043,2.75738224165185,0.00186002908033556,0.00081295532804392,1,1.0000299821091,1958.82684323565,0,20117.454887218,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
9,23,11.2956695211981,260,39.8796592368143,755.619230769231,707.111538461538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,242.115340547096,0.99927497177922,22.3800483839122,12.5892433438797,10.5054553817226,3.12240346954367,0.00167883157945513,0.000698784885926512,1,1.0000148879782,1939.90591671574,0,19416.3461538462,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
10,26,10.7601044686982,280,41.8262240371094,833.021428571429,2032.80714285714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,267.41595937009,0.98552319735923,26.0944805755478,12.1281090835164,9.89713397793582,2.83172170812247,0.00515252074326871,0.00269687489255612,1,1.00034856558512,2007.50870207466,0,20101.3571428571,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
11,39,10.5102814260053,410,49.4350368418313,871.224390243902,1906.47073170732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,385.472645122706,0.942479286067077,39.2870938677634,11.3601164846966,9.63243986686621,2.14444800258079,0.0103717804903638,0.00518036797661333,0,1.00272037091266,2862.94100502785,0,20318.3634146341,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
12,28,10.9245673457544,313,47.8006224719517,944.584664536741,1133.04153354633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,290.55479780515,0.987197043756678,27.8649322126468,12.204585603348,10.0123639284349,2.99805261465649,0.00499121112417089,0.00235953311023999,1,1.00012365017279,2193.9217117397,0,19769.4153354633,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
13,26,10.722669979187,279,46.5340247767898,1000.1146953405,176.4229390681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,265.638746403991,0.988784490839806,25.7011934077696,11.931569626855,10.0287608207536,2.79818611901429,0.0105182291420448,0.00561951825105354,0,1.00144636914351,2030.19483602868,0,20106.7491039427,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
14,24,10.7042336832731,257,43.4951534674367,1051.59922178988,1749.02723735409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240.880310354393,0.996589719805924,23.7289221090376,11.5713592892748,9.82890418993974,2.85339640312842,0.0042074006840768,0.00243154629614246,0,1.00021549770269,1800.43768867884,0,20175.8093385214,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
15,22,9.23829387018135,204,37.2523032180293,1119.16666666667,298.372549019608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,215.926598595029,0.993487385967072,22.7424580871072,11.3577384097304,9.01578765585701,2.99645046347318,0.013655986019881,0.00725704948719949,0,1.00194281503317,1451.89307313639,0,21174.0931372549,1,1,1,1,2018-10-04T16:44:37.359,20181004_ecoli_ARA_M2_10K,-0,-0,158.7,DIA_100X_EMPTY_1x1_200ms,,,
