"Multisizer","2019-11-21  18:26"
"File name:","2K_M5_2019-11-21_14.#m4"
"Generation:","2K"
"Population:","M5"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2019-11-21  18:26"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","22370"
"Counting threshold:","0.600"
"Counts above threshold:","22370"
"Coincidence corrected:","22709"

"From","0.113"
"To","22.45"
"Number ",22711
"Mean:","0.739"
"Median:","0.649"
"D(0,0):",1.088
"Mean/Median ratio:","1.139"
"Mode:","0.593"
"95% Conf. Limits:","0.734"
"95% Conf. Limits:","0.744"
"S.D.:","0.374"
"Variance:","0.140"
"C.V.:","50.68"
"Skewness:","3.951"
"Kurtosis:","47.25"
"d10:","0.443"
"d50:","0.649"
"d90:","1.141"
"Specific Surf. Area:","52386"

"% <","Size "
10,0.443
25,0.528
50,0.649
75,0.820
90,1.141

"% >","Size "
10,1.141
25,0.820
50,0.649
75,0.528
90,0.443

"Size ","% <"
1,86.3
10,99.99
100,100
1000,100

"Size ","% >"
1,13.7
10,0.0088
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,76,0.113,0.117,0.121
2,42,0.121,0.126,0.130
3,47,0.130,0.135,0.140
4,19,0.140,0.144,0.149
5,8,0.149,0.154,0.159
6,6,0.159,0.165,0.170
7,8,0.170,0.175,0.181
8,7,0.181,0.186,0.192
9,10,0.192,0.198,0.204
10,6,0.204,0.210,0.217
11,8,0.217,0.223,0.229
12,5,0.229,0.236,0.243
13,10,0.243,0.250,0.257
14,21,0.257,0.264,0.271
15,19,0.271,0.279,0.286
16,38,0.286,0.294,0.302
17,39,0.302,0.310,0.318
18,61,0.318,0.326,0.334
19,83,0.334,0.343,0.351
20,156,0.351,0.360,0.369
21,234,0.369,0.378,0.387
22,273,0.387,0.397,0.406
23,454,0.406,0.416,0.426
24,580,0.426,0.436,0.446
25,722,0.446,0.456,0.467
26,821,0.467,0.478,0.488
27,957,0.488,0.499,0.510
28,1051,0.510,0.522,0.533
29,1201,0.533,0.545,0.556
30,1226,0.556,0.568,0.581
31,1270,0.581,0.593,0.605
32,1103,0.605,0.618,0.631
33,1184,0.631,0.644,0.657
34,1158,0.657,0.670,0.684
35,1119,0.684,0.697,0.711
36,981,0.711,0.725,0.740
37,885,0.740,0.754,0.769
38,745,0.769,0.784,0.798
39,738,0.798,0.814,0.829
40,591,0.829,0.845,0.860
41,488,0.860,0.876,0.892
42,462,0.892,0.909,0.925
43,326,0.925,0.942,0.959
44,302,0.959,0.976,0.993
45,284,0.993,1.011,1.029
46,223,1.029,1.047,1.065
47,248,1.065,1.083,1.102
48,178,1.102,1.121,1.140
49,135,1.140,1.159,1.178
50,149,1.178,1.198,1.218
51,163,1.218,1.238,1.258
52,147,1.258,1.279,1.300
53,145,1.300,1.321,1.342
54,107,1.342,1.363,1.385
55,144,1.385,1.407,1.429
56,98,1.429,1.452,1.474
57,138,1.474,1.497,1.520
58,96,1.520,1.543,1.567
59,121,1.567,1.591,1.614
60,103,1.614,1.639,1.663
61,98,1.663,1.688,1.713
62,66,1.713,1.738,1.764
63,64,1.764,1.789,1.815
64,67,1.815,1.842,1.868
65,53,1.868,1.895,1.922
66,39,1.922,1.949,1.976
67,42,1.976,2.004,2.032
68,35,2.032,2.060,2.089
69,31,2.089,2.118,2.147
70,27,2.147,2.176,2.206
71,12,2.206,2.236,2.265
72,20,2.265,2.296,2.327
73,10,2.327,2.358,2.389
74,19,2.389,2.420,2.452
75,12,2.452,2.484,2.516
76,16,2.516,2.549,2.582
77,14,2.582,2.615,2.648
78,10,2.648,2.682,2.716
79,6,2.716,2.750,2.785
80,4,2.785,2.820,2.855
81,4,2.855,2.890,2.926
82,0,2.926,2.962,2.998
83,2,2.998,3.035,3.071
84,3,3.071,3.109,3.146
85,4,3.146,3.184,3.222
86,2,3.222,3.261,3.299
87,4,3.299,3.338,3.377
88,0,3.377,3.417,3.457
89,0,3.457,3.497,3.538
90,4,3.538,3.579,3.620
91,4,3.620,3.661,3.703
92,0,3.703,3.745,3.788
93,0,3.788,3.831,3.873
94,2,3.873,3.917,3.961
95,0,3.961,4.005,4.049
96,0,4.049,4.094,4.139
97,0,4.139,4.184,4.230
98,2,4.230,4.276,4.322
