CellID,LongAxis,ShortAxis,Area,RegionScore,XPosition,YPosition,Fluor1Sum,Fluor1Mean,Fluor1Background,Fluor1BgStd,Fluor1FociNumber,Fluor2Sum,Fluor2Mean,Fluor2Background,Fluor2BgStd,Fluor2FociNumber,Fluor3Sum,Fluor3Mean,Fluor3Background,Fluor3BgStd,Fluor3FociNumber,MeshArea,MeshSolidity,MeshAxisLength,MeshRibsLengthMax,MeshRibsLengthMean,MeshRibsLengthStd,MeshCurvatureMax,MeshCurvatureMean,MeshCurvatureInflection,MeshSinuosity,MeshVolume,NumOfNeighbors,RegionGrayVal,TimeFrames,AgeFrames,RelativeAge,xyFolder,DateTime,Folder,StageXposition,StageYposition,StageZposition,PhaseConfig,Fluo1Config,Fluo2Config,Fluo3Config
1,21,12.0278381912246,253,-9.55446035531581,86.4268774703557,1759.1581027668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,223.705472616794,0.999829271273841,18.944697957227,14.7618328644318,11.1540673843021,4.06078612523631,0.031824172776599,0.0169875084161929,0,1.00724939793783,1851.16058453658,0,15747.3201581028,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
2,22,12.3543619051977,272,1.67260827931537,114.830882352941,319.415441176471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,244.644421116812,0.999780109214656,21.0185980609021,13.932863387785,11.0801363061061,3.68151866506157,0.034673523126432,0.0194752630663423,0,1.0115587743256,2026.67370459105,1,16153.8419117647,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
3,25,12.2125564211005,306,33.8039869644295,126.875816993464,299.401960784314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,275.155797898099,0.999361400675772,25.1005861109895,12.853565598929,10.4145061595896,3.47230520527898,0.0149376993435054,0.00883050641341066,0,1.00333502519298,2138.21369242694,1,16313.0261437909,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
4,22,12.2572378729152,278,-5.68160428532424,152.920863309353,1993.72302158273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,248.854938403787,0.999916741575994,22.3414972927187,13.4744889673218,10.5906026391783,3.73465373298449,0.00909587889639006,0.00143119564751819,1,1.00003698813126,1968.08342593277,0,16183.5143884892,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
5,23,11.6080068847254,267,34.6088054033981,181.404494382022,1475.61797752809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,242.406088242208,0.999822528573915,21.8141528531947,13.5653502429159,10.6090130317709,3.60479622942749,0.00895682456615497,0.00376619706863597,1,1.00044043387575,1928.31597466635,0,16150.5205992509,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
6,21,11.7186551384527,246,-2.22158228846602,219.439024390244,1164.87804878049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,223.832898340038,0.999795855105294,19.4393537598859,14.2024578146019,10.9766927785521,3.86379699285083,0.0115362635456957,0.00595180876750155,1,1.00093160541273,1839.56324126219,0,15828.8089430894,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
7,24,12.5111856898418,301,33.0396904908841,250.232558139535,827.129568106312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268.239289953918,0.996786933949878,23.5643583318335,13.3130638405955,11.0198068859085,3.32355778608724,0.0233387931407286,0.0129743887596485,0,1.00632955548922,2247.46774386314,0,16010.9601328904,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
8,25,12.3105328946255,308,39.7428329559872,269.103896103896,1113.48701298701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,275.467934104449,0.999488389452627,24.1742711250085,13.546297036904,10.804883469379,3.69843980514417,0.102287745772403,0.00375070567560782,1,1.00003848457352,2216.5801756331,0,15662.8246753247,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
9,22,12.4962351906841,275,-23.3485759966599,306.665454545455,877.967272727273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243.996669674087,0.999902991570927,20.9550788885703,14.4741967190978,11.0666439449034,4.05914847880161,0.719988576123525,0.0199716371085136,0,1.00024533766087,2015.63112537827,0,16150.8909090909,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
10,25,12.5283282880841,314,40.2604506977578,341.96178343949,375.910828025478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,278.330155303077,0.997750968781985,24.5361503979636,13.417992733836,10.9623752174974,3.26397209609754,0.0154124623627636,0.00663377841686314,1,1.00178970628837,2315.82443635836,0,16013.7738853503,1,1,1,10,2018-11-08T18:23:17.306,20181108_ecoli_ARA_P5_2K,-1500,866,160.925,DIA_100X_EMPTY_1x1_200ms,,,
