"Multisizer","2019-11-26  11:34"
"File name:","2K_M6_2019-11-26_07.#m4"
"Generation:","2K"
"Population:","M6"
"Control mode:","Volumetric,  100  uL"
"Acquired:","2019-11-26  11:33"
"Size bins:","200"
"From","0.600"
"To","3.500"
"Sizing threshold:","0.600"
"Total pulses:","46264"
"Counting threshold:","0.600"
"Counts above threshold:","46264"
"Coincidence corrected:","47597"

"From","0.113"
"To","22.45"
"Number ",47525
"Mean:","0.468"
"Median:","0.377"
"D(0,0):",0.911
"Mean/Median ratio:","1.242"
"Mode:","0.360"
"95% Conf. Limits:","0.462"
"95% Conf. Limits:","0.473"
"S.D.:","0.637"
"Variance:","0.405"
"C.V.:","136.2"
"Skewness:","17.67"
"Kurtosis:","416.7"
"d10:","0.243"
"d50:","0.377"
"d90:","0.707"
"Specific Surf. Area:","59488"

"% <","Size "
10,0.243
25,0.299
50,0.377
75,0.484
90,0.707

"% >","Size "
10,0.707
25,0.484
50,0.377
75,0.299
90,0.243

"Size ","% <"
1,96.3
10,99.9
100,100
1000,100

"Size ","% >"
1,3.73
10,0.12
100,0
1000,0

"Volume"
"%"
10
25
50
75
90

"Bin Number","Diff.","Bin Volume (Lower)","Bin Volume (Center)","Bin Volume (Upper)"
"","Number","fL","fL","fL"
1,171,0.113,0.117,0.121
2,153,0.121,0.126,0.130
3,176,0.130,0.135,0.140
4,129,0.140,0.144,0.149
5,153,0.149,0.154,0.159
6,177,0.159,0.165,0.170
7,226,0.170,0.175,0.181
8,294,0.181,0.186,0.192
9,406,0.192,0.198,0.204
10,584,0.204,0.210,0.217
11,805,0.217,0.223,0.229
12,1097,0.229,0.236,0.243
13,1427,0.243,0.250,0.257
14,1795,0.257,0.264,0.271
15,2030,0.271,0.279,0.286
16,2340,0.286,0.294,0.302
17,2554,0.302,0.310,0.318
18,2638,0.318,0.326,0.334
19,2782,0.334,0.343,0.351
20,2859,0.351,0.360,0.369
21,2751,0.369,0.378,0.387
22,2525,0.387,0.397,0.406
23,2379,0.406,0.416,0.426
24,2168,0.426,0.436,0.446
25,1968,0.446,0.456,0.467
26,1672,0.467,0.478,0.488
27,1519,0.488,0.499,0.510
28,1275,0.510,0.522,0.533
29,996,0.533,0.545,0.556
30,731,0.556,0.568,0.581
31,598,0.581,0.593,0.605
32,438,0.605,0.618,0.631
33,372,0.631,0.644,0.657
34,325,0.657,0.670,0.684
35,324,0.684,0.697,0.711
36,299,0.711,0.725,0.740
37,297,0.740,0.754,0.769
38,348,0.769,0.784,0.798
39,321,0.798,0.814,0.829
40,350,0.829,0.845,0.860
41,343,0.860,0.876,0.892
42,305,0.892,0.909,0.925
43,313,0.925,0.942,0.959
44,295,0.959,0.976,0.993
45,222,0.993,1.011,1.029
46,174,1.029,1.047,1.065
47,136,1.065,1.083,1.102
48,133,1.102,1.121,1.140
49,133,1.140,1.159,1.178
50,87,1.178,1.198,1.218
51,68,1.218,1.238,1.258
52,89,1.258,1.279,1.300
53,70,1.300,1.321,1.342
54,49,1.342,1.363,1.385
55,50,1.385,1.407,1.429
56,57,1.429,1.452,1.474
57,47,1.474,1.497,1.520
58,35,1.520,1.543,1.567
59,44,1.567,1.591,1.614
60,22,1.614,1.639,1.663
61,25,1.663,1.688,1.713
62,21,1.713,1.738,1.764
63,15,1.764,1.789,1.815
64,21,1.815,1.842,1.868
65,10,1.868,1.895,1.922
